USER     PID   PPID  VSIZE  RSS     WCHAN    PC         NAME
root      1     0     492    344   c005ec34 0001c718 S /init
root      2     0     0      0     c007704c 00000000 S kthreadd
root      3     2     0      0     c00612bc 00000000 S ksoftirqd/0
root      6     2     0      0     c00ad2f0 00000000 S migration/0
root      10    2     0      0     c0072a14 00000000 S khelper
root      11    2     0      0     c0072a14 00000000 S fs_sync
root      12    2     0      0     c0072a14 00000000 S suspend
root      13    2     0      0     c00cb848 00000000 S sync_supers
root      14    2     0      0     c00cc59c 00000000 S bdi-default
root      15    2     0      0     c0072a14 00000000 S kblockd
root      16    2     0      0     c0261ed0 00000000 S khubd
root      17    2     0      0     c0072a14 00000000 S cfg80211
root      19    2     0      0     c00c65c4 00000000 S kswapd0
root      20    2     0      0     c011d020 00000000 S fsnotify_mark
root      21    2     0      0     c0072a14 00000000 S crypto
root      41    2     0      0     c0067408 00000000 D binder_watchdog
root      42    2     0      0     c0072a14 00000000 S binder
root      43    2     0      0     c0072a14 00000000 S g2d_workqueue
root      44    2     0      0     c0072a14 00000000 S mtk_vibrator
root      45    2     0      0     c0366388 00000000 D pmic_thread_kth
root      46    2     0      0     c0376c80 00000000 D bat_thread_kthr
root      47    2     0      0     c0374554 00000000 S mtk charger_hv_
root      48    2     0      0     c02c7564 00000000 S mmcqd/0
root      49    2     0      0     c02c7564 00000000 S mmcqd/0boot0
root      50    2     0      0     c02c7564 00000000 S mmcqd/0boot1
root      52    2     0      0     c0323878 00000000 S screen_update_k
root      53    2     0      0     c02c7564 00000000 S mmcqd/1
root      54    2     0      0     c0072a14 00000000 S accdet
root      55    2     0      0     c0342c94 00000000 S keyEvent_send
root      56    2     0      0     c0072a14 00000000 S accdet_eint
root      58    2     0      0     c033f678 00000000 S mtk-tpd
root      59    2     0      0     c0072a14 00000000 S tpd_esd_check
root      60    2     0      0     c0072a14 00000000 S deferwq
root      61    2     0      0     c0072a14 00000000 S f_mtp
root      62    2     0      0     c0282a78 00000000 S file-storage
root      63    2     0      0     c0067408 00000000 D wdtk-0
root      64    2     0      0     c0067408 00000000 D wdtk-1
root      65    1     424    224   c00f6074 0000f9e0 S /sbin/ueventd
root      66    1     492    260   c005ec34 0001c718 S /init
root      67    2     0      0     c019c5a0 00000000 S jbd2/mmcblk0p3-
root      68    2     0      0     c0072a14 00000000 S ext4-dio-unwrit
root      69    2     0      0     c022c7c0 00000000 S loop0
root      71    66    492    248   c005ec34 0001c718 S /init
root      72    71    492    268   c005ec34 0001c718 S /init
