D/AlarmManagerService(   61): Kernel timezone updated to 0 minutes west of GMT
I/ActivityManager(   61): Start proc com.android.deskclock for broadcast com.android.deskclock/.AlarmInitReceiver: pid=188 uid=10019 gids={}
D/dalvikvm(  144): GC_EXTERNAL_ALLOC freed 53K, 53% free 2697K/5639K, external 2128K/2137K, paused 467ms
W/SystemClock(  137): Unable to set rtc to 1374050281: Invalid argument
I/TelephonyRegistry(   61): notifyDataConnection: state=0 isDataConnectivityPossible=false reason=radioTurnedOff interfaceName=null networkType=0
I/TelephonyRegistry(   61): notifyDataConnection: state=0 isDataConnectivityPossible=false reason=gprsDetached interfaceName=null networkType=0
D/dalvikvm(   61): GC_EXTERNAL_ALLOC freed 41K, 45% free 4314K/7815K, external 4073K/5086K, paused 214ms
D/SystemClock(  137): Setting time of day to sec=1374050281
I/TelephonyRegistry(   61): notifyServiceState: 0 home Android Android 310260  UMTS CSS not supported -1 -1RoamInd: -1DefRoamInd: -1EmergOnly: false
I/TelephonyRegistry(   61): notifyDataConnection: state=0 isDataConnectivityPossible=false reason=null interfaceName=null networkType=3
I/ActivityThread(  185): Pub com.android.social: com.android.providers.contacts.SocialProvider
I/ActivityThread(  185): Pub applications: com.android.providers.applications.ApplicationsProvider
D/dalvikvm(  144): GC_EXTERNAL_ALLOC freed 25K, 52% free 2719K/5639K, external 2668K/2681K, paused 536ms
D/MccTable(  137): updateMccMncConfiguration: mcc=310, mnc=260
D/MccTable(  137): locale set to en_us
D/MccTable(  137): WIFI_NUM_ALLOWED_CHANNELS set to 11
I/WifiService(   61): WifiService trying to setNumAllowed to 11 with persist set to true
I/ActivityManager(   61): Config changed: { scale=1.0 imsi=310/260 loc=en_US touch=3 keys=2/1/2 nav=1/1 orien=1 layout=34 uiMode=17 seq=4}
D/dalvikvm(  137): GC_CONCURRENT freed 222K, 50% free 2929K/5767K, external 1625K/2137K, paused 3ms+13ms
I/TelephonyRegistry(   61): notifyMessageWaitingChanged: false
I/TelephonyRegistry(   61): notifyCallForwardingChanged: false
D/dalvikvm(  185): GC_CONCURRENT freed 408K, 54% free 2613K/5639K, external 1625K/2137K, paused 3ms+14ms
